cve_mun_full,Municipio,NOM_MUN_CLEAN,temp_media_anual,ZON_TER,marginacion,electricidad_pct,computadoras_pct,internet_pct,infra_adaptada_pct,material_adaptado_pct,agua_potable_pct,lavabo_manos_pct,indice_infra_sep,escuelas_infied,luz_con_pct_infied,agua_red_pct_infied,bebederos_con_pct_infied,techumbre_con_pct_infied,ambito_urbano_pct_infied,ambito_rural_pct_infied,ambito_predominante_infied,control_predominante_infied
20009,HEROICA CIUDAD DE TLAXIACO,Ayotzintepec,23.0,Cálido,Alto,90.0,50.0,0.0,0.0,0.0,70.0,70.0,0.4,,,,,,,,,
20010,HUAUTLA DE JIMÉNEZ,El Barrio de la Soledad,23.0,Cálido,Bajo,77.4,22.6,9.7,12.9,6.5,74.2,80.6,0.4,,,,,,,,,
20011,LOMA BONITA,Calihualá,15.0,Templado,Alto,25.0,25.0,0.0,0.0,0.0,100.0,100.0,0.4,,,,,,,,,
20012,MAGDALENA APASCO,Candelaria Loxicha,23.0,Cálido,Muy alto,54.5,27.3,9.1,0.0,5.5,67.3,72.7,0.3,,,,,,,,,
20013,MIAHUATLÁN DE PORFIRIO DÍAZ,Ciénega de Zimatlán,21.0,Semicálido,Bajo,33.3,0.0,0.0,0.0,0.0,100.0,100.0,0.3,,,,,,,,,
20014,OAXACA DE JUÁREZ,Ciudad Ixtepec,27.0,Muy cálido,Muy bajo,42.9,21.4,14.3,21.4,3.6,100.0,100.0,0.4,,,,,,,,,
20015,SALINA CRUZ,Coatecas Altas,17.0,Templado,Muy alto,6.7,6.7,0.0,0.0,0.0,93.3,100.0,0.3,,,,,,,,,
20016,SAN ANTONIO DE LA CAL,Coicoyán de las Flores,25.0,Cálido,Muy alto,9.7,6.5,3.2,0.0,3.2,90.3,83.9,0.3,,,,,,,,,
20017,SAN FRANCISCO IXHUATÁN,La Compañía,19.0,Semicálido,Alto,33.3,0.0,6.7,0.0,0.0,86.7,73.3,0.3,,,,,,,,,
20018,SAN FRANCISCO TELIXTLAHUACA,Concepción Buenavista,15.0,Templado,Alto,100.0,66.7,0.0,16.7,0.0,83.3,66.7,0.5,,,,,,,,,
20019,SAN JACINTO AMILPAS,Concepción Pápalo,15.0,Templado,Alto,28.6,14.3,0.0,0.0,14.3,100.0,92.9,0.4,,,,,,,,,
20020,SAN JUAN BAUTISTA CUICATLÁN,Constancia del Rosario,23.0,Cálido,Alto,20.0,10.0,0.0,0.0,0.0,90.0,80.0,0.3,,,,,,,,,
20021,SAN JUAN BAUTISTA TUXTEPEC,Cosolapa,21.0,Semicálido,Medio,51.7,20.7,6.9,0.0,10.3,86.2,89.7,0.4,,,,,,,,,
20022,SAN LORENZO CACAOTEPEC,Cosoltepec,19.0,Semicálido,Medio,40.0,20.0,20.0,0.0,0.0,100.0,100.0,0.4,,,,,,,,,
20023,SAN MARTÍN TILCAJETE,Cuilápam de Guerrero,19.0,Semicálido,Alto,52.9,23.5,11.8,0.0,5.9,76.5,88.2,0.4,,,,,,,,,
20024,SAN PEDRO MIXTEPEC,Cuyamecalco Villa de Zaragoza,25.0,Cálido,Alto,75.0,18.8,0.0,0.0,25.0,56.3,75.0,0.4,,,,,,,,,
20025,SAN PEDRO POCHUTLA,Chahuites,27.0,Muy cálido,Medio,100.0,38.5,15.4,7.7,0.0,76.9,61.5,0.4,,,,,,,,,
20026,SANTA CRUZ AMILPAS,Chalcatongo de Hidalgo,23.0,Cálido,Alto,48.0,16.0,0.0,0.0,0.0,84.0,76.0,0.3,,,,,,,,,
20027,SANTA CRUZ XOXOCOTLÁN,Chiquihuitlán de Benito Juárez,17.0,Templado,Alto,20.0,20.0,0.0,0.0,0.0,80.0,80.0,0.3,,,,,,,,,
20028,SANTA LUCÍA DEL CAMINO,Heroica Ciudad de Ejutla de Crespo,19.0,Semicálido,Alto,31.7,12.2,2.4,2.4,2.4,85.4,90.2,0.3,,,,,,,,,
20029,SANTA MARÍA ATZOMPA,Eloxochitlán de Flores Magón,15.0,Templado,Muy alto,90.0,30.0,10.0,0.0,0.0,60.0,50.0,0.3,,,,,,,,,
20030,SANTA MARÍA DEL TULE,El Espinal,27.0,Muy cálido,Muy bajo,55.6,11.1,11.1,11.1,11.1,100.0,100.0,0.4,,,,,,,,,
20031,SANTA MARÍA HUATULCO,Tamazulápam del Espíritu Santo,19.0,Semicálido,Alto,92.3,61.5,23.1,0.0,0.0,92.3,76.9,0.5,,,,,,,,,
20032,SANTA MARÍA PETAPA,Fresnillo de Trujano,25.0,Cálido,Alto,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.3,,,,,,,,,
20033,SANTIAGO COMALTEPEC,Guadalupe Etla,19.0,Semicálido,Muy bajo,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.3,,,,,,,,,
20034,SANTIAGO JUXTLAHUACA,Guadalupe de Ramírez,19.0,Semicálido,Medio,20.0,20.0,0.0,0.0,0.0,80.0,100.0,0.3,,,,,,,,,
20035,SANTIAGO MATATLÁN,Guelatao de Juárez,17.0,Templado,Muy bajo,100.0,50.0,100.0,50.0,50.0,100.0,100.0,0.8,,,,,,,,,
20036,SANTIAGO PINOTEPA NACIONAL,Guevea de Humboldt,23.0,Cálido,Alto,54.8,12.9,9.7,6.5,32.3,54.8,64.5,0.3,,,,,,,,,
20037,SANTIAGO SUCHILQUITONGO,Mesones Hidalgo,27.0,Muy cálido,Alto,31.8,9.1,0.0,0.0,22.7,90.9,100.0,0.4,,,,,,,,,
20038,SANTO DOMINGO TEHUANTEPEC,Villa Hidalgo,17.0,Templado,Alto,33.3,33.3,0.0,0.0,0.0,100.0,66.7,0.3,,,,,,,,,
20039,TEOTITLÁN DE FLORES MAGÓN,Heroica Ciudad de Huajuapan de León,17.0,Templado,Muy bajo,49.5,29.9,23.7,9.3,10.3,92.8,91.8,0.4,1.0,100.0,100.0,100.0,0.0,0.0,100.0,RURAL,PÚBLICO
20040,TLACOLULA DE MATAMOROS,Huautepec,23.0,Cálido,Muy alto,6.7,6.7,0.0,0.0,0.0,86.7,80.0,0.3,,,,,,,,,
20041,TLALIXTAC DE CABRERA,Huautla de Jiménez,23.0,Cálido,Muy alto,56.3,14.9,1.1,2.3,0.0,59.8,65.5,0.3,,,,,,,,,
20042,VILLA DE TUTUTEPEC,Ixtlán de Juárez,17.0,Templado,Medio,100.0,33.3,0.0,0.0,4.8,61.9,66.7,0.4,,,,,,,,,
20043,ZIMATLÁN DE ÁLVAREZ,Juchitán de Zaragoza,27.0,Muy cálido,Bajo,79.3,28.7,16.1,20.7,5.7,86.2,74.7,0.4,,,,,,,,,
21001,ACAJETE,Acajete,15.0,Templado,Medio,95.6,53.3,28.9,40.0,15.6,82.2,93.3,0.6,,,,,,,,,
21002,ACATLÁN,Acateno,21.0,Semicálido,Alto,100.0,52.4,23.8,14.3,9.5,38.1,66.7,0.4,,,,,,,,,
21003,ACATZINGO,Acatlán,21.0,Semicálido,Medio,97.0,51.5,7.6,13.6,6.1,75.8,86.4,0.5,,,,,,,,,
21004,AHUAZOTEPEC,Acatzingo,17.0,Templado,Medio,93.8,56.3,39.6,27.1,14.6,70.8,93.8,0.6,,,,,,,,,
21005,AJALPAN,Acteopan,19.0,Semicálido,Muy alto,100.0,83.3,33.3,0.0,0.0,66.7,100.0,0.5,,,,,,,,,
21006,ALTEPEXI,Ahuacatlán,19.0,Semicálido,Alto,92.0,48.0,8.0,8.0,8.0,88.0,84.0,0.5,,,,,,,,,
21007,AMOZOC,Ahuatlán,23.0,Cálido,Alto,100.0,38.5,15.4,7.7,38.5,69.2,92.3,0.5,,,,,,,,,
21008,ATLIXCO,Ahuazotepec,13.0,Templado,Bajo,100.0,52.6,15.8,31.6,10.5,100.0,94.7,0.6,,,,,,,,,
21009,CHALCHICOMULA DE SESMA,Ahuehuetitla,21.0,Semicálido,Alto,100.0,50.0,0.0,37.5,25.0,75.0,100.0,0.6,,,,,,,,,
