cve_mun_full,NOM_MUN_CLEAN,temp_media_anual,ZON_TER
08045,Meoqui,17.0,Templado
08046,Morelos,19.0,Semicálido
08047,Moris,23.0,Cálido
08048,Namiquipa,11.0,Semifrio
08002,Aldama,17.0,Templado
08059,San Francisco del Oro,15.0,Templado
08037,Juárez,17.0,Templado
08019,Chihuahua,17.0,Templado
08024,Santa Isabel,17.0,Templado
08064,El Tule,15.0,Templado
08026,Gran Morelos,17.0,Templado
08027,Guachochi,17.0,Templado
08028,Guadalupe,17.0,Templado
08030,Guazapares,25.0,Cálido
08032,Hidalgo del Parral,17.0,Templado
08033,Huejotitán,13.0,Templado
08034,Ignacio Zaragoza,11.0,Semifrio
08035,Janos,15.0,Templado
08038,Julimes,17.0,Templado
08039,López,17.0,Templado
08040,Madera,11.0,Semifrio
08042,Manuel Benavides,17.0,Templado
08005,Ascensión,17.0,Templado
08052,Ojinaga,17.0,Templado
08006,Bachíniva,11.0,Semifrio
08008,Batopilas de Manuel Gómez Morín,13.0,Templado
08009,Bocoyna,11.0,Semifrio
08010,Buenaventura,17.0,Templado
08011,Camargo,17.0,Templado
08012,Carichí,11.0,Semifrio
08013,Casas Grandes,11.0,Semifrio
08015,Coyame del Sotol,17.0,Templado
08016,La Cruz,17.0,Templado
08017,Cuauhtémoc,11.0,Semifrio
08020,Chínipas,25.0,Cálido
08021,Delicias,19.0,Semicálido
08022,Dr. Belisario Domínguez,17.0,Templado
08023,Galeana,17.0,Templado
08025,Gómez Farías,11.0,Semifrio
08055,Rosales,17.0,Templado
08031,Guerrero,11.0,Semifrio
08050,Nuevo Casas Grandes,17.0,Templado
08051,Ocampo,11.0,Semifrio
08054,Riva Palacio,13.0,Templado
08056,Rosario,19.0,Semicálido
08058,San Francisco de Conchos,17.0,Templado
08001,Ahumada,17.0,Templado
08007,Balleza,13.0,Templado
08018,Cusihuiriachi,11.0,Semifrio
08065,Urique,25.0,Cálido
08066,Uruachi,21.0,Semicálido
08041,Maguarichi,11.0,Semifrio
08004,Aquiles Serdán,17.0,Templado
08053,Praxedis G. Guerrero,17.0,Templado
08057,San Francisco de Borja,11.0,Semifrio
08060,Santa Bárbara,17.0,Templado
08029,Guadalupe y Calvo,23.0,Cálido
08036,Jiménez,17.0,Templado
08049,Nonoava,13.0,Templado
09003,Coyoacán,15.0,Templado
09007,Iztapalapa,15.0,Templado
09008,La Magdalena Contreras,15.0,Templado
09009,Milpa Alta,15.0,Templado
09010,Álvaro Obregón,15.0,Templado
09011,Tláhuac,15.0,Templado
09012,Tlalpan,15.0,Templado
09013,Xochimilco,15.0,Templado
09006,Iztacalco,17.0,Templado
09015,Cuauhtémoc,17.0,Templado
09017,Venustiano Carranza,17.0,Templado
09002,Azcapotzalco,15.0,Templado
09016,Miguel Hidalgo,15.0,Templado
09005,Gustavo A. Madero,15.0,Templado
09004,Cuajimalpa de Morelos,15.0,Templado
09014,Benito Juárez,15.0,Templado
10023,Pueblo Nuevo,25.0,Cálido
10025,San Bernardo,13.0,Templado
10027,San Juan de Guadalupe,17.0,Templado
10035,Tepehuanes,11.0,Semifrio
10026,San Dimas,23.0,Cálido
10019,Otáez,21.0,Semicálido
10022,Poanas,15.0,Templado
10002,Canelas,23.0,Cálido
10003,Coneto de Comonfort,15.0,Templado
10004,Cuencamé,15.0,Templado
10006,General Simón Bolívar,17.0,Templado
10008,Guadalupe Victoria,15.0,Templado
10009,Guanaceví,11.0,Semifrio
10010,Hidalgo,17.0,Templado
10011,Indé,19.0,Semicálido
10031,Santa Clara,17.0,Templado
10013,Mapimí,17.0,Templado
10016,Nombre de Dios,19.0,Semicálido
10018,El Oro,15.0,Templado
10020,Pánuco de Coronado,15.0,Templado
10032,Santiago Papasquiaro,25.0,Cálido
10007,Gómez Palacio,21.0,Semicálido
10015,Nazas,17.0,Templado
10028,San Juan del Río,15.0,Templado
10030,San Pedro del Gallo,17.0,Templado
10021,Peñón Blanco,13.0,Templado
10024,Rodeo,15.0,Templado
10034,Tamazula,25.0,Cálido
10039,Nuevo Ideal,11.0,Semifrio
10001,Canatlán,13.0,Templado
10005,Durango,15.0,Templado
10012,Lerdo,19.0,Semicálido
10014,Mezquital,23.0,Cálido
10017,Ocampo,13.0,Templado
10038,Vicente Guerrero,15.0,Templado
10033,Súchil,17.0,Templado
10037,Topia,23.0,Cálido
10029,San Luis del Cordero,19.0,Semicálido
10036,Tlahualilo,21.0,Semicálido
11035,Santa Cruz de Juventino Rosas,19.0,Semicálido
11031,San Francisco del Rincón,19.0,Semicálido
11009,Comonfort,15.0,Templado
11015,Guanajuato,15.0,Templado
11016,Huanímaro,17.0,Templado
11017,Irapuato,17.0,Templado
11018,Jaral del Progreso,17.0,Templado
11019,Jerécuaro,15.0,Templado
11020,León,19.0,Semicálido
11021,Moroleón,15.0,Templado
11025,Purísima del Rincón,19.0,Semicálido
11026,Romita,19.0,Semicálido
11027,Salamanca,17.0,Templado
11028,Salvatierra,15.0,Templado
11029,San Diego de la Unión,15.0,Templado
11032,San José Iturbide,13.0,Templado
11033,San Luis de la Paz,15.0,Templado
11034,Santa Catarina,17.0,Templado
11043,Victoria,15.0,Templado
11045,Xichú,13.0,Templado
11006,Atarjea,15.0,Templado
11011,Cortazar,17.0,Templado
11012,Cuerámaro,19.0,Semicálido
11036,Santiago Maravatío,17.0,Templado
11038,Tarandacuao,15.0,Templado
11039,Tarimoro,15.0,Templado
11040,Tierra Blanca,13.0,Templado
11002,Acámbaro,15.0,Templado
11013,Doctor Mora,15.0,Templado
11014,Dolores Hidalgo Cuna de la Independencia Nacional,17.0,Templado
11022,Ocampo,13.0,Templado
11024,Pueblo Nuevo,19.0,Semicálido
