cve_mun_full,Municipio,Escuelas,Alumnos,Alumnos Mujeres,Alumnos Hombres,Docentes¹
14004,ARANDAS,3,721,547,174,25
14005,AUTLÁN DE NAVARRO,5,2912,2490,422,95
14006,CASIMIRO CASTILLO,1,4,4,0,1
14007,CHAPALA,4,689,542,147,26
14008,CIHUATLÁN,3,348,330,18,13
14009,ETZATLÁN,1,193,133,60,5
14010,GUADALAJARA,179,42781,26665,16116,1868
14011,HUEJUQUILLA EL ALTO,3,1041,928,113,44
14012,IXTLAHUACÁN DE LOS MEMBRILLOS,3,2275,1601,674,69
14013,JOCOTEPEC,2,14,5,9,4
14014,LA BARCA,1,1,1,0,1
14015,LAGOS DE MORENO,8,2609,2140,469,70
14016,MASCOTA,3,201,184,17,9
14017,OCOTLÁN,4,656,408,248,32
14018,PUERTO VALLARTA,12,9922,7329,2593,207
14019,SAN JULIÁN,3,2383,2163,220,50
14020,SAN MIGUEL EL ALTO,3,152,106,46,6
14021,SAN PEDRO TLAQUEPAQUE,15,5443,3978,1465,148
14022,TAPALPA,2,38,31,7,8
14023,TEPATITLÁN DE MORELOS,3,1195,1002,193,26
14024,TEQUILA,5,20,18,2,8
14025,TLAJOMULCO DE ZÚÑIGA,6,3893,3440,453,101
14026,TONALÁ,4,3111,1392,1719,46
14027,UNIÓN DE TULA,1,9,7,2,2
14028,VILLA HIDALGO,3,2676,2434,242,78
14029,ZAPOPAN,28,6648,4692,1956,289
14030,ZAPOTLÁN EL GRANDE,8,5294,4385,909,141
15001,ACAMBAY DE RUÍZ CASTAÑEDA,2,2454,2386,68,8
15002,ACOLMAN,1,26,8,18,4
15003,ACULCO,2,234,207,27,3
15004,ALMOLOYA DE ALQUISIRAS,1,1654,1483,171,8
15005,ALMOLOYA DEL RÍO,1,3044,2638,406,12
15006,AMECAMECA,2,4038,3250,788,15
15007,APAXCO,1,846,793,53,6
15008,ATENCO,1,1265,1182,83,4
15009,ATIZAPÁN DE ZARAGOZA,8,5701,3419,2282,40
15010,ATLACOMULCO,4,3649,2943,706,23
15011,AXAPUSCO,1,929,745,184,5
15012,AYAPANGO,1,383,368,15,1
15013,CHALCO,8,8060,4676,3384,43
15014,CHICOLOAPAN,3,3699,3066,633,17
15015,CHIMALHUACÁN,7,7649,5024,2625,41
15016,COACALCO DE BERRIOZÁBAL,4,4714,3326,1388,27
15017,COYOTEPEC,1,488,470,18,4
15018,CUAUTITLÁN,8,3975,3033,942,32
15019,CUAUTITLÁN IZCALLI,8,5842,2011,3831,79
15020,ECATEPEC DE MORELOS,21,10784,4894,5890,124
15021,HUEHUETOCA,2,1911,1814,97,11
15022,HUIXQUILUCAN,3,1289,1207,82,21
15023,IXTAPALUCA,3,3011,1971,1040,17
15024,IXTAPAN DE LA SAL,3,3926,2745,1181,22
15025,IXTLAHUACA,5,3657,2973,684,47
15026,JALTENCO,1,1819,1606,213,5
15027,JILOTEPEC,2,3127,2127,1000,13
15028,LA PAZ,3,225,157,68,17
15029,LERMA,3,2303,1305,998,15
15030,MELCHOR OCAMPO,1,18,9,9,2
15031,METEPEC,2,4226,3150,1076,17
15032,NAUCALPAN DE JUÁREZ,13,6941,3401,3540,74
15033,NEZAHUALCÓYOTL,20,5095,2943,2152,136
15034,NICOLÁS ROMERO,6,4368,2560,1808,33
15035,OCOYOACAC,1,1520,993,527,5
15036,OTUMBA,1,2417,1956,461,10
15037,OTZOLOTEPEC,1,53,53,0,2
15038,SAN FELIPE DEL PROGRESO,2,5444,2946,2498,14
15039,SAN JOSÉ DEL RINCÓN,1,139,138,1,1
15040,SAN MATEO ATENCO,1,2570,2320,250,11
15041,TECÁMAC,4,3129,2250,879,32
15042,TEJUPILCO,2,2852,2232,620,12
15043,TEMASCALCINGO,2,235,218,17,7
15044,TEMOAYA,1,4468,3414,1054,10
15045,TENANCINGO,3,2164,1954,210,10
15046,TEOLOYUCAN,1,422,391,31,1
15047,TEOTIHUACÁN,2,4182,3513,669,18
15048,TEPOTZOTLÁN,1,2059,1970,89,4
15049,TEXCOCO,11,5566,3282,2284,62
15050,TIANGUISTENCO,5,537,426,111,25
15051,TLALNEPANTLA DE BAZ,20,8588,4853,3735,125
15052,TOLUCA,24,14318,7873,6445,150
15053,TULTEPEC,1,2197,1741,456,11
15054,TULTITLÁN,3,2553,1683,870,16
15055,VALLE DE BRAVO,2,4003,2695,1308,17
15056,VALLE DE CHALCO SOLIDARIDAD,7,4029,2423,1606,62
15057,VILLA DEL CARBÓN,1,8,4,4,3
15058,VILLA GUERRERO,1,1023,719,304,8
15059,XONACATLÁN,2,601,335,266,15
15060,ZINACANTEPEC,3,10534,4529,6005,52
15061,ZUMPANGO,3,6275,4641,1634,19
16001,ACUITZIO,3,4132,2704,1428,42
16002,APATZINGÁN,10,3089,1469,1620,53
16003,ARTEAGA,2,154,131,23,6
16004,CHAVINDA,1,51,51,0,3
16005,COALCOMÁN DE VÁZQUEZ PALLARES,3,1112,877,235,25
16006,CONTEPEC,2,204,191,13,5
16007,GABRIEL ZAMORA,1,8,4,4,2
16008,HIDALGO,11,2524,1521,1003,33
16009,HUETAMO,4,183,149,34,17
16010,JIQUILPAN,1,1233,799,434,9
16011,JUNGAPEO,1,11,7,4,2
16012,LA HUACANA,2,162,136,26,4
16013,LA PIEDAD,3,1828,1150,678,19
16014,LÁZARO CÁRDENAS,13,3728,1652,2076,80
16015,LOS REYES,5,1191,1053,138,21
16016,MARAVATÍO,3,2757,1825,932,26
16017,MORELIA,91,21158,14295,6863,576
16018,MÚGICA,3,596,495,101,8
16019,PARACHO,2,378,179,199,16
16020,PÁTZCUARO,10,1352,894,458,36
16021,PERIBÁN,1,108,97,11,6
16022,PURUÁNDIRO,5,904,740,164,21
16023,QUERÉNDARO,2,340,308,32,8
16024,QUIROGA,3,3367,2617,750,36
16025,SAHUAYO,2,445,376,69,10
16026,SALVADOR ESCALANTE,2,856,597,259,24
16027,SAN LUCAS,2,550,325,225,10
16028,TACÁMBARO,5,1445,953,492,35
16029,TANHUATO,1,12,10,2,1
16030,TARETAN,1,798,648,150,10
16031,TEPALCATEPEC,3,426,292,134,10
16032,TINGAMBATO,1,50,10,40,2
16033,TLALPUJAHUA,2,153,106,47,6
16034,TURICATO,2,1088,631,457,14
16035,TUXPAN,2,456,333,123,4
16036,URUAPAN,41,5340,3256,2084,166
16037,YURÉCUARO,1,3,0,3,2
16038,ZACAPU,11,1011,568,443,32
16039,ZAMORA,18,2841,2108,733,100
